Scenario,Method,pearson_mean,pearson_sd,bias_mean,bias_sd
1,A,0.11857769212693986,0.09454613169225957,0.25956971729925715,0.20975350051827069
1,BL,-0.0038285051776595124,0.08898126563986464,-0.010477812530007694,0.20982480440083784
1,G,0.244687487963789,0.07895505144105842,0.389076989868316,0.11574036736818794
1,G + T,0.26414142591556083,0.08371265124336297,0.37034258660538694,0.10681875061081013
1,G + T + A,0.23521685167435794,0.08739366720155248,0.3682728113980338,0.12870149079625917
1,GOBLUP,0.25740803671248497,0.09056329084236826,0.28463849385073936,0.09545441483688305
1,T,0.1780981244007549,0.07446368478174446,0.2579678685523367,0.10847071772174777
1,ssGOBLUP,0.2972751612527083,0.07502566629707882,0.49413358756597037,0.11701943546396394
2,A,0.11857769212693986,0.09454613169225957,0.25956971729925715,0.20975350051827069
2,G,0.244687487963789,0.07895505144105842,0.389076989868316,0.11574036736818794
2,G + T,0.24417712986316217,0.07369378640260145,1.104645132540872,0.5882642749503879
2,GOBLUP,0.2020041220147485,0.08743490610168766,0.2494780258825284,0.10496654174835877
2,H_AT,0.11045030236366099,0.079566196221094,0.3398365998989811,0.24386108617854457
2,H_GT,0.16974847939510015,0.08212737857231935,0.4832913525569,0.2199161994791972
2,T,0.1050561872100618,0.07555118297642899,27620808.281850584,61208870.09962945
2,ssGOBLUP,0.25596339779664706,0.0792729578525734,0.4147908001501453,0.1442108603800646
3,A,0.11857769212693986,0.09454613169225957,0.25956971729925715,0.20975350051827069
3,G,0.19525036373515248,0.08028579901090407,0.5590742067387197,0.19762192689771443
3,G + T,0.24417712986316217,0.07369378640260145,1.104645132540872,0.5882642749503879
3,GOBLUP,0.14270572184197444,0.09570523395027931,0.28152503402850054,0.18646498775930134
3,H_AG,0.17763466310295992,0.08160941057687401,0.35554052398047126,0.14336050366950825
3,H_AT,0.11045030236366099,0.079566196221094,0.3398365998989811,0.24386108617854457
3,H_GT,0.1412818107397399,0.0826267853064687,0.5338015156394709,0.32972549165397597
3,T,0.1050561872100618,0.07555118297642899,27620808.281850584,61208870.09962945
3,ssGOBLUP,0.21845918442925494,0.07635433432897046,0.3392740961867415,0.12321554190535144
